df,alpha,p_cum,tv_2t,tv_1t
44,0.15,0.85,1.465111933,1.048793621
44,0.2,0.8,1.30109006,0.849866805
45,0.0005,0.9995,3.751905234,3.520251465
45,0.001,0.999,3.520251465,3.281479848
45,0.005,0.995,2.952079127,2.689585019
45,0.01,0.99,2.689585019,2.412115876
45,0.025,0.975,2.318890654,2.014103389
45,0.05,0.95,2.014103389,1.679427393
45,0.1,0.9,1.679427393,1.300649332
45,0.15,0.85,1.464533534,1.048515765
45,0.2,0.8,1.300649332,0.849681905
46,0.0005,0.9995,3.745619515,3.514957205
46,0.001,0.999,3.514957205,3.277098029
46,0.005,0.995,2.948781311,2.687013492
46,0.01,0.99,2.687013492,2.410188096
46,0.025,0.975,2.317152172,2.012895599
46,0.05,0.95,2.012895599,1.678660414
46,0.1,0.9,1.678660414,1.300228048
46,0.15,0.85,1.463980712,1.048250126
46,0.2,0.8,1.300228048,0.849505114
47,0.0005,0.9995,3.739618345,3.509901283
47,0.001,0.999,3.509901283,3.272912378
47,0.005,0.995,2.945630054,2.684555618
47,0.01,0.99,2.684555618,2.40834505
47,0.025,0.975,2.315489968,2.011740514
47,0.05,0.95,2.011740514,1.677926722
47,0.1,0.9,1.677926722,1.299824947
47,0.15,0.85,1.463451805,1.047995915
47,0.2,0.8,1.299824947,0.849335912
48,0.0005,0.9995,3.733882848,3.50506797
48,0.001,0.999,3.50506797,3.268910018
48,0.005,0.995,2.942615803,2.682204027
48,0.01,0.99,2.682204027,2.406581273
48,0.025,0.975,2.313899132,2.010634758
48,0.05,0.95,2.010634758,1.677224196
48,0.1,0.9,1.677224196,1.299438879
48,0.15,0.85,1.462945295,1.047752411
48,0.2,0.8,1.299438879,0.84917382
49,0.0005,0.9995,3.728395778,3.500442891
49,0.001,0.999,3.500442891,3.265079173
49,0.005,0.995,2.939729818,2.679951974
49,0.01,0.99,2.679951974,2.40489176
49,0.025,0.975,2.312375164,2.009575237
49,0.05,0.95,2.009575237,1.676550893
49,0.1,0.9,1.676550893,1.299068785
49,0.15,0.85,1.46245979,1.047518951
49,0.2,0.8,1.299068785,0.849018399
50,0.0005,0.9995,3.723141349,3.496012882
50,0.001,0.999,3.496012882,3.261409056
50,0.005,0.995,2.936964085,2.677793271
50,0.01,0.99,2.677793271,2.403271917
50,0.025,0.975,2.310913936,2.008559112
50,0.05,0.95,2.008559112,1.675905025
50,0.1,0.9,1.675905025,1.298713694
50,0.15,0.85,1.461994009,1.047294927
50,0.2,0.8,1.298713694,0.848869245
51,0.0005,0.9995,3.718105086,3.491765864
51,0.001,0.999,3.491765864,3.257889764
51,0.005,0.995,2.934311244,2.675722234
51,0.01,0.99,2.675722234,2.401717523
51,0.025,0.975,2.309511652,2.00758377
51,0.05,0.95,2.00758377,1.67528495
51,0.1,0.9,1.67528495,1.298372713
51,0.15,0.85,1.461546775,1.047079777
51,0.2,0.8,1.298372713,0.848725986
52,0.0005,0.9995,3.713273686,3.487690735
52,0.001,0.999,3.487690735,3.254512192
52,0.005,0.995,2.931764524,2.673733631
52,0.01,0.99,2.673733631,2.400224691
52,0.025,0.975,2.308164817,2.006646805
52,0.05,0.95,2.006646805,1.674689154
52,0.1,0.9,1.674689154,1.298045016
52,0.15,0.85,1.461117,1.046872984
52,0.2,0.8,1.298045016,0.848588281
53,0.0005,0.9995,3.708634909,3.483777273
53,0.001,0.999,3.483777273,3.251267953
53,0.005,0.995,2.929317685,2.671822636
53,0.01,0.99,2.671822636,2.398789836
53,0.025,0.975,2.306870206,2.005745995
53,0.05,0.95,2.005745995,1.674116237
53,0.1,0.9,1.674116237,1.297729843
53,0.15,0.85,1.460703683,1.046674072
53,0.2,0.8,1.297729843,0.848455812
54,0.0005,0.9995,3.704177468,3.480016051
54,0.001,0.999,3.480016051,3.248149308
54,0.005,0.995,2.926964964,2.669984796
54,0.01,0.99,2.669984796,2.397409645
54,0.025,0.975,2.305624841,2.004879288
54,0.05,0.95,2.004879288,1.673564906
54,0.1,0.9,1.673564906,1.297426488
54,0.15,0.85,1.460305896,1.046482598
54,0.2,0.8,1.297426488,0.848328287
55,0.0005,0.9995,3.69989094,3.476398359
55,0.001,0.999,3.476398359,3.245149105
55,0.005,0.995,2.924701037,2.668215988
55,0.01,0.99,2.668215988,2.396081053
55,0.025,0.975,2.304425964,2.004044783
55,0.05,0.95,2.004044783,1.673033965
55,0.1,0.9,1.673033965,1.2971343
55,0.15,0.85,1.45992278,1.046298152
55,0.2,0.8,1.2971343,0.848205433
56,0.0005,0.9995,3.695765687,3.47291614
56,0.001,0.999,3.47291614,3.242260726
56,0.005,0.995,2.92252097,2.666512398
56,0.01,0.99,2.666512398,2.394801219
56,0.025,0.975,2.30327102,2.003240719
56,0.05,0.95,2.003240719,1.672522303
56,0.1,0.9,1.672522303,1.296852673
56,0.15,0.85,1.459553538,1.046120354
56,0.2,0.8,1.296852673,0.848086998
57,0.0005,0.9995,3.691792782,3.469561928
57,0.001,0.999,3.469561928,3.239478035
57,0.005,0.995,2.920420192,2.664870482
57,0.01,0.99,2.664870482,2.39356751
57,0.025,0.975,2.302157638,2.002465459
57,0.05,0.95,2.002465459,1.672028888
57,0.1,0.9,1.672028888,1.296581044
57,0.15,0.85,1.45919743,1.045948852
57,0.2,0.8,1.296581044,0.847972749
58,0.0005,0.9995,3.687963942,3.466328795
58,0.001,0.999,3.466328795,3.236795339
58,0.005,0.995,2.918394454,2.663286954
58,0.01,0.99,2.663286954,2.392377475
58,0.025,0.975,2.301083615,2.001717484
58,0.05,0.95,2.001717484,1.671552762
58,0.1,0.9,1.671552762,1.29631889
58,0.15,0.85,1.458853767,1.045783317
58,0.2,0.8,1.29631889,0.847862467
59,0.0005,0.9995,3.684271476,3.463210305
59,0.001,0.999,3.463210305,3.234207344
59,0.005,0.995,2.916439807,2.661758752
59,0.01,0.99,2.661758752,2.391228837
59,0.025,0.975,2.300046899,2.000995378
59,0.05,0.95,2.000995378,1.671093032
59,0.1,0.9,1.671093032,1.296065725
59,0.15,0.85,1.458521908,1.045623442
59,0.2,0.8,1.296065725,0.847755949
60,0.0005,0.9995,3.680708229,3.460200469
60,0.001,0.999,3.460200469,3.231709126
60,0.005,0.995,2.914552575,2.660283029
60,0.01,0.99,2.660283029,2.390119473
60,0.025,0.975,2.299045582,2.000297822
60,0.05,0.95,2.000297822,1.670648865
60,0.1,0.9,1.670648865,1.295821094
60,0.15,0.85,1.458201256,1.045468943
60,0.2,0.8,1.295821094,0.847653006
61,0.0005,0.9995,3.677267539,3.457293709
61,0.001,0.999,3.457293709,3.229296094
61,0.005,0.995,2.912729331,2.658857127
61,0.01,0.99,2.658857127,2.389047402
61,0.025,0.975,2.29807788,1.999623585
61,0.05,0.95,1.999623585,1.670219484
61,0.1,0.9,1.670219484,1.295584571
61,0.15,0.85,1.457891251,1.045319553
61,0.2,0.8,1.295584571,0.847553461
62,0.0005,0.9995,3.673943193,3.454484821
62,0.001,0.999,3.454484821,3.226963964
62,0.005,0.995,2.910966874,2.657478565
62,0.01,0.99,2.657478565,2.388010775
62,0.025,0.975,2.297142129,1.998971517
62,0.05,0.95,1.998971517,1.669804163
62,0.1,0.9,1.669804163,1.295355762
62,0.15,0.85,1.457591373,1.045175021
62,0.2,0.8,1.295355762,0.847457148
63,0.0005,0.9995,3.670729391,3.451768945
63,0.001,0.999,3.451768945,3.224708739
63,0.005,0.995,2.909262216,2.656145025
63,0.01,0.99,2.656145025,2.387007863
63,0.025,0.975,2.296236772,1.998340543
63,0.05,0.95,1.998340543,1.669402222
63,0.1,0.9,1.669402222,1.295134294
63,0.15,0.85,1.457301133,1.045035116
63,0.2,0.8,1.295134294,0.847363912
64,0.0005,0.9995,3.667620712,3.449141539
64,0.001,0.999,3.449141539,3.222526675
64,0.005,0.995,2.90761256,2.654854337
64,0.01,0.99,2.654854337,2.386037049
64,0.025,0.975,2.295360352,1.997729654
64,0.05,0.95,1.997729654,1.669013025
64,0.1,0.9,1.669013025,1.29491982
64,0.15,0.85,1.457020074,1.044899619
64,0.2,0.8,1.29491982,0.847273609
65,0.0005,0.9995,3.664612084,3.446598352
65,0.001,0.999,3.446598352,3.220414271
65,0.005,0.995,2.906015287,2.653604469
65,0.01,0.99,2.653604469,2.385096816
65,0.025,0.975,2.294511504,1.997137908
65,0.05,0.95,1.997137908,1.668635976
65,0.1,0.9,1.668635976,1.294712013
65,0.15,0.85,1.456747768,1.044768324
65,0.2,0.8,1.294712013,0.847186101
66,0.0005,0.9995,3.661698755,3.444135399
66,0.001,0.999,3.444135399,3.218368245
66,0.005,0.995,2.904467941,2.652393515
66,0.01,0.99,2.652393515,2.38418574
66,0.025,0.975,2.293688947,1.996564419
